//X,Y,Z,Scalar field
473982.69000244,5370970.33001709,111.04000092,1.000000
473982.10000610,5370970.36999512,107.51000214,1.000000
473982.08000183,5370970.66998291,109.87000275,1.000000
473981.58000183,5370970.98999023,109.37000275,1.000000
473981.19000244,5370971.29998779,109.43000031,1.000000
473980.67999268,5370971.63000488,108.87000275,1.000000
473980.33999634,5370971.94000244,109.30000305,1.000000
473979.83000183,5370972.26000977,108.66999817,1.000000
473979.33999634,5370972.59002686,108.23999786,1.000000
473978.88000488,5370972.91998291,107.94999695,1.000000
473978.17999268,5370973.26000977,106.22000122,1.000000
473977.75000000,5370973.58001709,106.13999939,1.000000
473977.28999329,5370973.90997314,105.91000366,1.000000
473977.00999451,5370974.21997070,106.69999695,1.000000
473976.46000671,5370974.09997559,109.75000000,1.000000
473976.30999756,5370973.84002686,106.55000305,1.000000
473976.60000610,5370973.53997803,105.90000153,1.000000
473977.00000000,5370973.21997070,105.91999817,1.000000
473977.63000488,5370972.89001465,107.26000214,1.000000
473978.10000610,5370972.57000732,107.68000031,1.000000
473978.72999573,5370972.23999023,109.06999969,1.000000
473979.17999268,5370971.94000244,109.38999939,1.000000
473979.50999451,5370971.63000488,109.00000000,1.000000
473979.91999817,5370971.32000732,109.08999634,1.000000
473980.36999512,5370971.01000977,109.47000122,1.000000
473980.80999756,5370970.70001221,109.69999695,1.000000
473981.19999695,5370970.39001465,109.68000031,1.000000
473981.74000549,5370970.08001709,110.58000183,1.000000
473982.11000061,5370969.76000977,110.37999725,1.000000
473982.36999512,5370969.46002197,109.54000092,1.000000
473982.74000549,5370969.15002441,109.40000153,1.000000
473983.19000244,5370968.83001709,109.63999939,1.000000
473983.55999756,5370968.52001953,109.43000031,1.000000
473983.71000671,5370968.21002197,107.83999634,2.000000
473984.16000366,5370967.88000488,108.01999664,1.000000
473984.55000305,5370967.55999756,107.91999817,2.000000
473985.03999329,5370967.22998047,108.33000183,1.000000
473985.50000000,5370966.90002441,108.61000061,1.000000
473986.05000305,5370966.57000732,109.45999908,1.000000
473986.49000549,5370966.23999023,109.54000092,1.000000
473986.91999817,5370965.90997314,109.62999725,1.000000
473987.35000610,5370965.59002686,109.69999695,1.000000
473987.80999756,5370965.26000977,109.98999786,1.000000
473988.24000549,5370964.92999268,110.05999756,1.000000
473988.66000366,5370964.60998535,110.15000153,1.000000
473986.39999390,5370964.54998779,109.55000305,1.000000
473985.94999695,5370964.86999512,109.31999969,1.000000
473985.44999695,5370965.20001221,108.91000366,2.000000
473985.10000610,5370965.53002930,109.34999847,1.000000
