//X,Y,Z,Scalar field
472518.48999023,5370029.69000053,56.52000046,2.000000
472518.02001953,5370029.95999908,56.68000031,1.000000
472517.51000977,5370030.28000069,56.61000061,2.000000
472517.02001953,5370030.55999947,56.68999863,1.000000
472516.52001953,5370030.87000084,56.63999939,2.000000
472516.04003906,5370031.15999985,56.70000076,1.000000
472515.54003906,5370031.46999931,56.65999985,2.000000
472515.05004883,5370031.76000023,56.75999832,1.000000
472515.25000000,5370032.02999878,56.74000168,2.000000
472515.79003906,5370031.70999908,56.70999908,2.000000
472516.33996582,5370031.37000084,56.74000168,1.000000
472516.86999512,5370031.05999947,56.63000107,2.000000
472517.41003418,5370030.72999954,56.68999863,1.000000
472517.93994141,5370030.42000008,56.58000183,2.000000
472518.47998047,5370030.07999992,56.65000153,1.000000
472519.01000977,5370029.77000046,56.54000092,2.000000
472519.56005859,5370029.44000053,56.59000015,1.000000
472520.07995605,5370029.12999916,56.49000168,2.000000
472520.63000488,5370028.79000092,56.54999924,1.000000
472521.16003418,5370028.47999954,56.50000000,2.000000
472521.79003906,5370028.03000069,57.18000031,1.000000
472522.34997559,5370027.68000031,57.33000183,1.000000
472522.85998535,5370027.37000084,57.25999832,1.000000
472523.39001465,5370027.04999924,57.25999832,1.000000
472524.44995117,5370028.34000015,56.50000000,2.000000
472523.96997070,5370028.62999916,56.54000092,2.000000
472523.48999023,5370028.92000008,56.52999878,2.000000
472523.06994629,5370029.12999916,56.99000168,1.000000
472522.72998047,5370029.22999954,58.00999832,1.000000
472522.25000000,5370029.51000023,58.06999969,1.000000
472521.14001465,5370030.28000069,57.15000153,1.000000
472520.57995605,5370030.69000053,56.61999893,2.000000
472520.08996582,5370030.96999931,56.68000031,1.000000
472519.57995605,5370031.29000092,56.63000107,2.000000
472519.08996582,5370031.57999992,56.68000031,1.000000
472518.57995605,5370031.89999962,56.61999893,2.000000
472518.08996582,5370032.18999863,56.70999908,1.000000
472517.58996582,5370032.50000000,56.70999908,2.000000
472517.09997559,5370032.79000092,56.79000092,1.000000
472516.58996582,5370033.09999847,56.77999878,2.000000
472516.08996582,5370033.38999939,56.81000137,2.000000
472516.34997559,5370033.61999893,56.81999969,2.000000
472516.88000488,5370033.31000137,56.75000000,2.000000
472517.41003418,5370032.97999954,56.81999969,1.000000
472517.93994141,5370032.66999817,56.70000076,2.000000
472518.46997070,5370032.34000015,56.75000000,1.000000
472518.98999023,5370032.04000092,56.66999817,2.000000
472519.54003906,5370031.70000076,56.75000000,1.000000
472520.05004883,5370031.39999962,56.65999985,2.000000
472520.56994629,5370031.09000015,56.59999847,2.000000
472521.11999512,5370030.73999977,56.75000000,1.000000
472521.79003906,5370030.22999954,57.79999924,1.000000
472522.33996582,5370029.88999939,57.88000107,1.000000
472522.84997559,5370029.60000038,57.72000122,1.000000
472523.21997070,5370029.48999977,56.59000015,2.000000
472523.75000000,5370029.17000008,56.59999847,1.000000
472524.27001953,5370028.87000084,56.50000000,2.000000
472524.81005859,5370028.54000092,56.56000137,1.000000
472525.90002441,5370029.73999977,56.66999817,1.000000
472525.39001465,5370030.05999947,56.54999924,2.000000
472524.92004395,5370030.31999969,56.72999954,1.000000
472524.42004395,5370030.63999939,56.61999893,2.000000
472523.93005371,5370030.94000053,56.65999985,2.000000
472523.44995117,5370031.22999954,56.68999863,1.000000
472522.96997070,5370031.51000023,56.77000046,1.000000
472522.45996094,5370031.82999992,56.70000076,1.000000
